title,data_amount,bundle_name,price,speed,validity,description,card_index
Trio Vibe,40GB,Fibre, RRs.3530 Rs.500,40GB,,Data Bundle40GBFibreAnytime Data40GB,1
Trio Vibe Plus,40GB,Fibre, RRs.4100 Rs.500,40GB,,Data Bundle40GBFibreAnytime Data40GB,2
Trio Shine,100,Fibre, RRs.4950 Rs.500,100 GB,,Data Bundle100FibreAnytime Data100 GB,3
HBB Anytime 50GB,50GB,4G, RRs.1290 Rs.1290,50GB,,Data Bundle50GB4GAnytime Data50GB,4
Any Beat,36,ADSL, RRs.1550 Rs.500,36 GB,,Data Bundle36ADSLAnytime Data36 GB,5
HBB Anytime 85GB,85GB,4G, RRs.1890 Rs.1890,85GB,,Data Bundle85GB4GAnytime Data85GB,6
Any Flix,58,Fibre, RRs.2150 Rs.500,58 GB,,Data Bundle58FibreAnytime Data58 GB53ADSLAnytime Data53 GB,7
HBB Anytime 115GB,115GB,4G, RRs.2590 Rs.2590,115GB,,Data Bundle115GB4GAnytime Data115GB,8
Any Tide,120,Fibre, RRs.3890 Rs.500,120 GB,,Data Bundle120FibreAnytime Data120 GB100ADSLAnytime Data100 GB,9
HBB Anytime 200GB,200GB,4G, RRs.3990 Rs.3990,200GB,,Data Bundle200GB4GAnytime Data200GB,10
HBB Anytime 400GB,400GB,4G, RRs.7990 Rs.7990,400GB,,Data Bundle400GB4GAnytime Data400GB,11
Ultra Flash Prime,200GB,Fibre, RRs.75000 Rs.500,200GB,,Data Bundle200GBFibreAnytime Data200GB per day + unlimited Entertainment Bundle + Unlimited Calls,12
Ultra Prime,5TB,Fibre, RRs.75000 Rs.500,,,Data Bundle5TBFibreAnytime Data5TB + unlimited Entertainment Bundle + Unlimited Calls,13
Trio Vibe,40GB,Fibre, RRs.3530 Rs.500,40GB,,Data Bundle40GBFibreAnytime Data40GB,14
Trio Vibe Plus,40GB,Fibre, RRs.4100 Rs.500,40GB,,Data Bundle40GBFibreAnytime Data40GB,15
Trio Shine,100,Fibre, RRs.4950 Rs.500,100 GB,,Data Bundle100FibreAnytime Data100 GB,16
HBB Anytime 50GB,50GB,4G, RRs.1290 Rs.1290,50GB,,Data Bundle50GB4GAnytime Data50GB,17
Any Beat,36,ADSL, RRs.1550 Rs.500,36 GB,,Data Bundle36ADSLAnytime Data36 GB,18
HBB Anytime 85GB,85GB,4G, RRs.1890 Rs.1890,85GB,,Data Bundle85GB4GAnytime Data85GB,19
Any Flix,58,Fibre, RRs.2150 Rs.500,58 GB,,Data Bundle58FibreAnytime Data58 GB53ADSLAnytime Data53 GB,20
Unlimited LTE Flash 5,Daily,4G, RRs.2350 Rs.500,5GB,,Data BundleDaily4GUnlimited DataDaily 5GB at standard LTE speed,21
HBB Anytime 115GB,115GB,4G, RRs.2590 Rs.2590,115GB,,Data Bundle115GB4GAnytime Data115GB,22
LTE Unlimited 2,Up,4G, RRs.2950 Rs.500,2Mbps,,Data BundleUp4GUnlimited DataUp to 2Mbps speed,23
Any Tide,120,Fibre, RRs.3890 Rs.500,120 GB,,Data Bundle120FibreAnytime Data120 GB100ADSLAnytime Data100 GB,24
HBB Anytime 200GB,200GB,4G, RRs.3990 Rs.3990,200GB,,Data Bundle200GB4GAnytime Data200GB,25
Unlimited LTE Flash 10,Daily,4G, RRs.4090 Rs.500,10GB,,Data BundleDaily4GUnlimited DataDaily 10GB at standard LTE speed,26
LTE Unlimited 4,Up,4G, RRs.5150 Rs.500,4Mbps,,Data BundleUp4GUnlimited DataUp to 4Mbps speed,27
ADSL Unlimited 4,Up,ADSL, RRs.5790 Rs.500,4Mbps,,Data BundleUpADSLUnlimited DataUp to 4Mbps speed,28
Fibre Unlimited Flash 10,Daily,Fibre, RRs.5990 Rs.500,10GB,,Data BundleDailyFibreUnlimited DataDaily 10GB up to 300Mbps (Thereafter 1Mbps),29
LTE Unlimited 8,Up,4G, RRs.7090 Rs.500,8Mbps,,Data BundleUp4GUnlimited DataUp to 8Mbps speed,30
ADSL Unlimited 8,Up,ADSL, RRs.7490 Rs.500,8Mbps,,Data BundleUpADSLUnlimited DataUp to 8Mbps speed,31
HBB Anytime 400GB,400GB,4G, RRs.7990 Rs.7990,400GB,,Data Bundle400GB4GAnytime Data400GB,32
Fibre Unlimited Flash 25,Daily,Fibre, RRs.10390 Rs.500,25GB,,Data BundleDailyFibreUnlimited DataDaily 25GB up to 300Mbps (Thereafter 1Mbps),33
Speed-based Fibre Unlimited Family,100,Fibre, RRs.7900 Rs.0,100 Mbps,,Data Bundle100FibreUnlimited Data100 Mbps/ 50 Mbps + Unlimited Calls,34
Speed-based Fibre Unlimited Boost,300,Fibre, RRs.14900 Rs.0,300 Mbps,,Data Bundle300FibreUnlimited Data300 Mbps/100 Mbps + Unlimited Calls,35
Speed-based Fibre Unlimited Blast,600,Fibre, RRs.27900 Rs.0,600 Mbps,,Data Bundle600FibreUnlimited Data600 Mbps/200 Mbps + Unlimited Calls,36
Speed-based Fibre Unlimited Turbo,1000,Fibre, RRs.39900 Rs.0,1000 Mbps,,Data Bundle1000FibreUnlimited Data1000 Mbps/300 Mbps + Unlimited Calls,37
Ultra Flash Prime,200GB,Fibre, RRs.75000 Rs.500,200GB,,Data Bundle200GBFibreAnytime Data200GB per day + unlimited Entertainment Bundle + Unlimited Calls,38
Ultra Prime,5TB,Fibre, RRs.75000 Rs.500,,,Data Bundle5TBFibreAnytime Data5TB + unlimited Entertainment Bundle + Unlimited Calls,39
,40GB,Fibre,,40GB,,,40
Rs.3530,,, RRs.3530,,,Monthly Rental,41
Rs.4100,,, RRs.4100,,,Monthly Rental,43
,100,Fibre,,100 GB,,,44
Rs.4950,,, RRs.4950,,,Monthly Rental,45
,50GB,4G,,50GB,,,46
Rs.1290,,, RRs.1290,,,Monthly Rental,47
,36,ADSL,,36 GB,,,48
Rs.1550,,, RRs.1550,,,Monthly Rental,49
,85GB,4G,,85GB,,,50
Rs.1890,,, RRs.1890,,,Monthly Rental,51
,58,Fibre,,58 GB,,,52
Rs.2150,,, RRs.2150,,,Monthly Rental,53
Unlimited LTE Flash 5,Daily,4G, RRs.2350 Rs.500,5GB,,Data BundleDaily4GUnlimited DataDaily 5GB at standard LTE speed,54
,Daily,4G,,5GB,,,55
Rs.2350,,, RRs.2350,,,Monthly Rental,56
,115GB,4G,,115GB,,,57
Rs.2590,,, RRs.2590,,,Monthly Rental,58
LTE Unlimited 2,Up,4G, RRs.2950 Rs.500,2Mbps,,Data BundleUp4GUnlimited DataUp to 2Mbps speed,59
,Up,4G,,2Mbps,,,60
Rs.2950,,, RRs.2950,,,Monthly Rental,61
,120,Fibre,,120 GB,,,62
Rs.3890,,, RRs.3890,,,Monthly Rental,63
,200GB,4G,,200GB,,,64
Rs.3990,,, RRs.3990,,,Monthly Rental,65
Unlimited LTE Flash 10,Daily,4G, RRs.4090 Rs.500,10GB,,Data BundleDaily4GUnlimited DataDaily 10GB at standard LTE speed,66
,Daily,4G,,10GB,,,67
Rs.4090,,, RRs.4090,,,Monthly Rental,68
LTE Unlimited 4,Up,4G, RRs.5150 Rs.500,4Mbps,,Data BundleUp4GUnlimited DataUp to 4Mbps speed,69
,Up,4G,,4Mbps,,,70
Rs.5150,,, RRs.5150,,,Monthly Rental,71
ADSL Unlimited 4,Up,ADSL, RRs.5790 Rs.500,4Mbps,,Data BundleUpADSLUnlimited DataUp to 4Mbps speed,72
,Up,ADSL,,4Mbps,,,73
Rs.5790,,, RRs.5790,,,Monthly Rental,74
Fibre Unlimited Flash 10,Daily,Fibre, RRs.5990 Rs.500,10GB,,Data BundleDailyFibreUnlimited DataDaily 10GB up to 300Mbps (Thereafter 1Mbps),75
,Daily,Fibre,,10GB,,,76
Rs.5990,,, RRs.5990,,,Monthly Rental,77
LTE Unlimited 8,Up,4G, RRs.7090 Rs.500,8Mbps,,Data BundleUp4GUnlimited DataUp to 8Mbps speed,78
,Up,4G,,8Mbps,,,79
Rs.7090,,, RRs.7090,,,Monthly Rental,80
ADSL Unlimited 8,Up,ADSL, RRs.7490 Rs.500,8Mbps,,Data BundleUpADSLUnlimited DataUp to 8Mbps speed,81
,Up,ADSL,,8Mbps,,,82
Rs.7490,,, RRs.7490,,,Monthly Rental,83
,400GB,4G,,400GB,,,84
Rs.7990,,, RRs.7990,,,Monthly Rental,85
Fibre Unlimited Flash 25,Daily,Fibre, RRs.10390 Rs.500,25GB,,Data BundleDailyFibreUnlimited DataDaily 25GB up to 300Mbps (Thereafter 1Mbps),86
,Daily,Fibre,,25GB,,,87
Rs.10390,,, RRs.10390,,,Monthly Rental,88
Speed-based Fibre Unlimited Family,100,Fibre, RRs.7900 Rs.0,100 Mbps,,Data Bundle100FibreUnlimited Data100 Mbps/ 50 Mbps + Unlimited Calls,89
,100,Fibre,,100 Mbps,,,90
Rs.7900,,, RRs.7900,,,Monthly Rental,91
Speed-based Fibre Unlimited Boost,300,Fibre, RRs.14900 Rs.0,300 Mbps,,Data Bundle300FibreUnlimited Data300 Mbps/100 Mbps + Unlimited Calls,92
,300,Fibre,,300 Mbps,,,93
Rs.14900,,, RRs.14900,,,Monthly Rental,94
Speed-based Fibre Unlimited Blast,600,Fibre, RRs.27900 Rs.0,600 Mbps,,Data Bundle600FibreUnlimited Data600 Mbps/200 Mbps + Unlimited Calls,95
,600,Fibre,,600 Mbps,,,96
Rs.27900,,, RRs.27900,,,Monthly Rental,97
Speed-based Fibre Unlimited Turbo,1000,Fibre, RRs.39900 Rs.0,1000 Mbps,,Data Bundle1000FibreUnlimited Data1000 Mbps/300 Mbps + Unlimited Calls,98
,1000,Fibre,,1000 Mbps,,,99
Rs.39900,,, RRs.39900,,,Monthly Rental,100
,200GB,Fibre,,200GB,,,101
Rs.75000,,, RRs.75000,,,Monthly Rental,102
,5TB,Fibre,,,,,103
